dossier_id,mibig_accession,source_database,mibig_version,organism_key,organism_name,strain_primary_key,strain_primary_raw,ncbi_taxon_id,primary_sequence_accession,reported_start_bp,reported_end_bp,reported_length_bp,reported_bgc_boundary,mibig_bgc_class_raw,refined_bgc_class_raw,product_family_raw,primary_product_raw,chemical_class_raw,biological_role_raw,primary_reference_doi,primary_reference_year,source_sheet_title
M4-FUNG-0001,BGC0000003,MIBiG,3,NCBITAXON:5599,Alternaria alternata,STR_0300b4073198,NAF8,5599,AB179766.1,1.0,37168.0,37168.0,AB179766.1:1-37168,PKS (Unknown),PKS-containing AF-toxin biosynthetic programme,AF-toxins,AF-toxin,Polyketide-associated host-selective phytotoxin family,Host-selective phytotoxin / virulence-associated metabolite,10.1007/s10327-004-0170-3,2005.0,Fungal BGC Dossier — M4-FUNG-0001 / BGC0000003
M4-FUNG-0002,BGC0000004,MIBiG,3,NCBITAXON:5062,Aspergillus oryzae,STR_04954f5c5fc5,RIB40,5062,AB196490.1,1.0,89641.0,89641.0,AB196490.1:1-89641,PKS (Unknown),Type I iterative PKS-containing aflatoxin biosynthesis homolog cluster,aflatoxins,aflatoxin G1 (MIBiG annotation; not demonstrated as a native RIB40 product),polyketide-derived aflatoxin family,mycotoxin pathway homolog; native RIB40 is non-aflatoxigenic,10.1128/AEM.72.1.484-490.2006,2006.0,Fungal BGC Dossier — M4-FUNG-0002 / BGC0000004
M4-FUNG-0003,BGC0000005,MIBiG,3,NCBITAXON:5067,Aspergillus parasiticus,STR_922f99f32451,SU-1 / SRRC 143 / ATCC 56775 / NRRL 5862,5067,AY371490.1,1.0,82081.0,82081.0,AY371490.1:1-82081 is the sequenced region; it contains the complete ~70-kb aflatoxin pathway plus an adjacent sugar-utilization cluster,PKS,Type I iterative PKS-containing aflatoxin biosynthetic gene cluster,aflatoxins,"aflatoxins B1, B2, G1 and G2",polyketide-derived difuranocoumarin mycotoxins,secondary metabolites / mycotoxins,10.1016/S0014-5793(04)00327-8,2004.0,Fungal BGC Dossier — M4-FUNG-0003 / BGC0000005
M4-FUNG-0004,BGC0000006,MIBiG,3,NCBITAXON:5059,Aspergillus flavus,STR_a1f296aa7838,"AF13 / SRRC 1273; historical literature also labels AF13 as ATCC 96044, while the current ATCC 96044 catalog identifies an AF13 niaD− derivative",5059,AY510451.1,88318.0,88318.0,88318.0,AY510451.1:1-88318; complete AF13 aflatoxin-cluster sequence as deposited,PKS (Unknown),Type I iterative PKS-containing B-aflatoxin biosynthetic gene cluster,aflatoxins,aflatoxin B1 and aflatoxin B2,polyketide-derived difuranocoumarin mycotoxins,secondary metabolites / mycotoxins associated with crop colonization,10.1128/AEM.70.11.6518-6524.2004,2004.0,Fungal BGC Dossier — M4-FUNG-0004 / BGC0000006
M4-FUNG-0005,BGC0000007,MIBiG,3,NCBITAXON:2059437,Aspergillus aflatoxiformans,STR_4e0d8509fac8,BN008R / BN008-R / ATCC MYA-379,2059437,AY510452.1,1.0,82511.0,82511.0,AY510452.1:1-82511,PKS (Unknown),Type I iterative PKS-containing B/G-aflatoxin biosynthetic gene cluster,aflatoxins,aflatoxin B1 and aflatoxin G1,polyketide-derived difuranocoumarin mycotoxins,secondary metabolites / mycotoxins,10.1007/s00253-002-1094-5,2002.0,Fungal BGC Dossier — M4-FUNG-0005 / BGC0000007
M4-FUNG-0006,BGC0000008,MIBiG,3,NCBITAXON:5059,Aspergillus flavus,STR_0cff4fa93af4,AF70 / ATCC MYA-384,5059,AY510453.1,1.0,75829.0,75829.0,AY510453.1:1-75829,PKS (Unknown),Type I iterative PKS-containing B-aflatoxin biosynthetic gene cluster,aflatoxins,aflatoxin B1 and aflatoxin B2,polyketide-derived difuranocoumarin mycotoxins,secondary metabolites / mycotoxins associated with crop contamination,10.1128/AEM.70.11.6518-6524.2004,2004.0,Fungal BGC Dossier — M4-FUNG-0006 / BGC0000008
M4-FUNG-0007,BGC0000009,MIBiG,3,NCBITAXON:41061,Aspergillus nomiae (MIBiG historical label: Aspergillus nomius),STR_457cd7b4d66c,NRRL 13137 / ATCC 15546 / CBS 260.88 / FRR 3339 / SRRC 375 / M93,41061,AY510454.1,1.0,75352.0,75352.0,AY510454.1:1-75352,PKS (Unknown),Type I iterative NR-PKS-containing B/G-aflatoxin biosynthetic gene cluster,aflatoxins,aflatoxin B1 and aflatoxin G1 (MIBiG-linked); NRRL 13137 is also a known B2/G2 producer,polyketide-derived difuranocoumarin mycotoxins,secondary metabolites / mycotoxins,10.1128/AEM.70.11.6518-6524.2004,2004.0,Fungal BGC Dossier — M4-FUNG-0007 / BGC0000009
M4-FUNG-0008,BGC0000010,MIBiG,3,NCBITAXON:5059,Aspergillus flavus,STR_69d954d9afcc,AF36 / NRRL 18543,5059,AY510455.1,1.0,78264.0,78264.0,AY510455.1:1-78264,PKS (Unknown),Degenerated type I iterative PKS aflatoxin biosynthetic gene cluster with a nonfunctional aflC/pksA pseudogene,aflatoxins,no native aflatoxin product; MIBiG generically associates the locus with 'aflatoxin',polyketide-derived aflatoxin pathway,degenerate mycotoxin biosynthetic pathway; organism-level ecological role is competitive exclusion rather than aflatoxin production,10.1007/s00253-004-1670-y,2004.0,Fungal BGC Dossier — M4-FUNG-0008 / BGC0000010
M4-FUNG-0009,BGC0000011,MIBiG,3,NCBITAXON:138278,Aspergillus ochraceoroseus,STR_87866bbb928f,SRRC 1432 / CBS 550.77 / NRRL 28622 / ATCC 38873,138278,AY092402.3,1.0,59535.0,59535.0,AY092402.3:1-59535,PKS (Unknown),Type I iterative NR-PKS aflatoxin/sterigmatocystin pathway cluster with A. nidulans-like organization,sterigmatocystin / aflatoxins,sterigmatocystin; aflatoxin B1; aflatoxin B2,polyketide-derived xanthone/difuranocoumarin mycotoxin pathway,secondary metabolites / mycotoxins,10.3852/08-173,2009.0,Fungal BGC Dossier — M4-FUNG-0009 / BGC0000011
M4-FUNG-0010,BGC0000012,MIBiG,3,NCBITAXON:48100,Alternaria solani,,NR,48100,AB120221.1,1.0,21971.0,21971.0,AB120221.1:1-21971,PKS (Unknown),Five-gene highly reducing iterative type I PKS cluster; core PKSN/Alt5 domain architecture KS–AT–DH–CMeT–ER–KR–ACP,alternapyrones / α-pyrones,alternapyrone — directly demonstrated as Alt5/PKSN product in heterologous A. oryzae; not established as the native final product of the complete A. solani five-gene cluster,highly methylated polyene α-pyrone / reduced polyketide,native ecological role in A. solani unresolved,10.1016/j.chembiol.2005.09.015,2005.0,Fungal BGC Dossier — M4-FUNG-0010 / BGC0000012
M4-FUNG-0011,BGC0000013,MIBiG,3,NCBITAXON:227321,Aspergillus nidulans,STR_072c0c775ec8,FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139 (Glasgow wild type),227321,BN001304.1,1099810.0,1145772.0,45963.0,"MIBiG displayed region: chromosome IV 1,099,810–1,145,772 (45,963 bp); MIBiG locus feature: 1,119,810–1,127,658",PKS (Unknown),Two-gene non-reducing iterative type I PKS + trans-acting metallo-β-lactamase-type thioesterase/release module,alternariol / isocoumarin polyketides,alternariol,aromatic non-reduced polyketide / dibenzo-α-pyrone (alternariol); isocoumarin co-products,native ecological role of this cryptic A. nidulans locus is unresolved,10.1021/ja3016395,2012.0,Fungal BGC Dossier — M4-FUNG-0011 / BGC0000013
M4-FUNG-0012,BGC0000022,MIBiG,3,NCBITAXON:227321,Aspergillus nidulans,STR_766db12d4c0d,FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139,227321,AACD01000015.1,109597.0,170464.0,60868.0,"MIBiG display: AACD01000015.1:109,597–170,464 (60,868 bp); MIBiG locus feature: 111,993–153,232 (41,240 bp)",PKS (Unknown),"Dual iterative fungal PKS pathway: highly reducing PKS AfoG supplies a starter unit to non-reducing PKS AfoE, followed by oxidative/reductive tailoring",asperfuranones / azaphilone-related polyketides,asperfuranone,benzofuranone/azaphilone-related fungal polyketide,native ecological role unresolved,10.1021/ja8088185,2009.0,Fungal BGC Dossier — M4-FUNG-0012 / BGC0000022
