gene_key,dossier_id,gene_id,gene_name,protein_accession,start_bp,end_bp,strand,predicted_function_raw,demonstrated_function_raw,perturbation_raw,phenotype_raw,source_ids,note,source_row
M4-FUNG-0001:G001,M4-FUNG-0001,G001,AFT9-1,BAD97694.1,12402.0,21474.0,-,polyketide synthase,NR,NR,NR,S001; S002,Sequence-predicted PKS; transcript detected in pcAFT-2 study; direct AFT9-1 necessity was not established.,104
M4-FUNG-0001:G002,M4-FUNG-0001,G002,AFT10-1,BAD97695.1,22504.0,24346.0,+,acyl-CoA dehydrogenase,AFT10-1 targeting reduced AF-toxin production and host-lesion formation,targeted disruption of single- and double-copy AFT10-1,reduced toxin production and strongly reduced lesion numbers,S001; S002,Strongest gene-specific causal evidence within this MIBiG segment.,105
M4-FUNG-0001:G003,M4-FUNG-0001,G003,AFT11-1,BAD97696.1,24799.0,26544.0,-,cytochrome P450 monooxygenase,NR,NR,NR,S001; S002,P450 annotation and transcript detection; direct necessity not established in cited study.,106
M4-FUNG-0001:G004,M4-FUNG-0001,G004,AFT12-1,BAD97697.1,27162.0,28055.0,+,oxidoreductase,NR,NR,NR,S001; S002,Oxidoreductase annotation and transcript detection; direct necessity not established in cited study.,107
M4-FUNG-0001:G005,M4-FUNG-0001,G005,AFTR-2,BAD97698.1,32092.0,33426.0,+,Zn(II)2Cys6/GAL4-type regulator candidate,NR,NR,NR,S001; S002,AFT homolog/regulator candidate on pcAFT-2; specific regulatory function not directly demonstrated.,108
M4-FUNG-0001:G006,M4-FUNG-0001,G006,AFT3-2,BAD97699.1,35716.0,36790.0,+,AFT3 homolog / enoyl-CoA-hydratase-family protein,NR,NR,NR,S001; S002,AFT3 homolog on pcAFT-2; direct gene-specific necessity not established by the cited pcAFT-2 study.,109
M4-FUNG-0002:G001,M4-FUNG-0002,G001,aflT,BAE71313.1,15203.0,17096.0,+,transporter; annotation differs between sources,,,,S001; S002,MIBiG: putative ABC transporter; Tominaga: major-facilitator-superfamily transporter. RIB40 has a 257-bp C-terminal deletion.,104
M4-FUNG-0002:G002,M4-FUNG-0002,G002,pksA,BAE71314.1,18437.0,25060.0,-,polyketide synthase,Core aflatoxin pathway PKS by homology,,,S001; S002,,105
M4-FUNG-0002:G003,M4-FUNG-0002,G003,nor-1,BAE71315.1,26749.0,27738.0,+,norsolorinic acid reductase,,,,S001,,106
M4-FUNG-0002:G004,M4-FUNG-0002,G004,fas-2,BAE71316.1,29053.0,34197.0,-,fatty acid synthase alpha subunit,,,,S001,,107
M4-FUNG-0002:G005,M4-FUNG-0002,G005,fas-1,BAE71317.1,34887.0,40733.0,+,fatty acid synthase beta subunit,,,,S001,,108
